"","UniprotID","Gene","estimate","estimate1","estimate2",".y.","group1","group2","n1","n2","statistic","p","df","conf.low","conf.high","method","alternative","p.adj","FC","log10adjustP","Direction"
"1","A0A075B6H7","IGKV3",0.151246091363637,15.78911989,15.6378737986364,"Intensity","Control_1","Disease_1",24,22,0.818033598377661,0.418,37.5673381783955,-0.223185410217714,0.525677592944988,"T-test","two.sided",0.69288380952381,0.151246091363637,0.15933958661957,"NotSignificant"
"2","A0A075B6I0","IGLV8",-0.144477746739129,13.0531716982609,13.197649445,"Intensity","Control_1","Disease_1",23,22,-0.680248175464367,0.5,42.3190815534455,-0.573001911050019,0.28404641757176,"T-test","two.sided",0.745674740484429,-0.144477746739129,0.127450568259797,"NotSignificant"
"3","A0A075B6I9","IGLV7",0.0298749595892858,11.9884159505417,11.9585409909524,"Intensity","Control_1","Disease_1",24,21,0.12896265196307,0.898,42.5091015558745,-0.437459760724012,0.497209679902583,"T-test","two.sided",0.950844171779141,0.0298749595892858,0.0218906511820351,"NotSignificant"
"4","A0A075B6J9","IGLV2",0.0770713584545462,11.2011080624545,11.124036704,"Intensity","Control_1","Disease_1",22,21,0.258879511403247,0.797,39.3821380602085,-0.524919839907609,0.679062556816701,"T-test","two.sided",0.903855643044619,0.0770713584545462,0.0439009262008963,"NotSignificant"
"5","A0A075B6K4","IGLV3",-0.731959433272728,10.9672914381818,11.6992508714545,"Intensity","Control_1","Disease_1",22,22,-2.28273698793631,0.0276,41.7398288176297,-1.37917668846429,-0.0847421780811622,"T-test","two.sided",0.166372027972028,-0.731959433272728,0.778919689575131,"NotSignificant"
"6","A0A075B6K5","IGLV3",0.0717860308595242,9.74935433980952,9.67756830895,"Intensity","Control_1","Disease_1",21,20,0.235275643681896,0.815,34.7584218493329,-0.54778344159564,0.691355503314689,"T-test","two.sided",0.910012953367876,0.0717860308595242,0.0409524257710468,"NotSignificant"
"7","A0A075B6P5","IGKV2",-0.0588119804166674,13.4425248645833,13.501336845,"Intensity","Control_1","Disease_1",24,22,-0.369894117799435,0.713,39.9861657307278,-0.38015995972907,0.262535998895735,"T-test","two.sided",0.869305084745763,-0.0588119804166674,0.0608277800888819,"NotSignificant"
"8","A0A075B6R9","IGKV2D",-0.155563428954546,10.523436516,10.6789999449545,"Intensity","Control_1","Disease_1",22,22,-0.461264066446483,0.647,41.9399707431777,-0.836199631631873,0.525072773722781,"T-test","two.sided",0.839963909774436,-0.155563428954546,0.0757393736077985,"NotSignificant"
"9","A0A075B6S5","IGKV1",-0.115479739356061,11.2365422579167,11.3520219972727,"Intensity","Control_1","Disease_1",24,22,-0.563780007979791,0.576,43.4050494435623,-0.528449788270364,0.297490309558241,"T-test","two.sided",0.809970636215334,-0.115479739356061,0.0915307252704902,"NotSignificant"
"10","A0A087WSY6","IGKV3D",-0.0993268871027677,11.0523397792609,11.1516666663636,"Intensity","Control_1","Disease_1",23,22,-0.44750755476858,0.657,42.8719399287959,-0.546982040554772,0.348328266349237,"T-test","two.sided",0.84029037037037,-0.0993268871027677,0.0755706133923566,"NotSignificant"
"11","A0A0B4J1U7","IGHV6",0.366286868068181,13.15927199125,12.7929851231818,"Intensity","Control_1","Disease_1",24,22,0.928754820269147,0.358,42.4646741122674,-0.429356121485496,1.16192985762186,"T-test","two.sided",0.656587234042553,0.366286868068181,0.18270756546713,"NotSignificant"
"12","A0A0B4J1V0","IGHV3",-0.873463431818182,10.0025402935,10.8760037253182,"Intensity","Control_1","Disease_1",22,22,-3.12333729940604,0.00332,40.0041432991972,-1.43866967810998,-0.308257185526384,"T-test","two.sided",0.0615970833333333,-0.873463431818182,1.2104398515081,"NotSignificant"
"13","A0A0B4J2H0","IGHV1",0.240773834671053,10.80932572725,10.5685518925789,"Intensity","Control_1","Disease_1",24,19,0.833190230030276,0.41,40.9735862037781,-0.342840958290251,0.824388627632357,"T-test","two.sided",0.692618677042802,0.240773834671053,0.159505801514162,"NotSignificant"
"14","A0A0C4DH26","IGKV6D",0.297911260952381,12.5671215533333,12.269210292381,"Intensity","Control_1","Disease_1",24,21,0.747485635333365,0.459,37.4908264705533,-0.509273366191669,1.10509588809643,"T-test","two.sided",0.720688524590164,0.297911260952381,0.142252393088118,"NotSignificant"
"15","A0A0C4DH34","IGHV4",-0.0333863582121214,11.8992145713333,11.9326009295455,"Intensity","Control_1","Disease_1",24,22,-0.11625629540053,0.908,42.5142588714764,-0.61272927838785,0.545956561963607,"T-test","two.sided",0.956841075794621,-0.0333863582121214,0.0191601893255251,"NotSignificant"
"16","A0A0C4DH38","IGHV5",-0.268905919166667,13.4775776608333,13.74648358,"Intensity","Control_1","Disease_1",24,22,-1.27039424646625,0.211,43.8802685384222,-0.695534141809248,0.157722303475915,"T-test","two.sided",0.502436464088398,-0.268905919166667,0.29891884941076,"NotSignificant"
"17","A0A0G2JRQ6","NA",0.227502800909091,12.0149944572727,11.7874916563636,"Intensity","Control_1","Disease_1",22,22,0.972828371498252,0.336,41.1445729848307,-0.244730757855061,0.699736359673244,"T-test","two.sided",0.632384279475983,0.227502800909091,0.199018934789312,"NotSignificant"
"18","A0A0J9YX35","IGHV3",-0.0743782544782619,10.9109414525217,10.985319707,"Intensity","Control_1","Disease_1",23,22,-0.371744020093501,0.712,36.4682498566351,-0.479976892546114,0.331220383589591,"T-test","two.sided",0.869305084745763,-0.0743782544782619,0.0608277800888819,"NotSignificant"
"19","A6NE52","WDR97",-0.336565146347827,12.6126596396522,12.949224786,"Intensity","Control_1","Disease_1",23,20,-1.41000438827943,0.166,40.9486130136713,-0.818643793083907,0.145513500388254,"T-test","two.sided",0.451394321766562,-0.336565146347827,0.345443908352984,"NotSignificant"
"20","A6NHN0","OTOL1",0.0160312495454562,14.93740559,14.9213743404545,"Intensity","Control_1","Disease_1",24,22,0.0608586701216714,0.952,42.3582058816609,-0.51543399261856,0.547496491709472,"T-test","two.sided",0.975581176470588,0.0160312495454562,0.010736587851767,"NotSignificant"
"21","A6NI28","ARHGAP42",0.182889843035715,14.31339685875,14.1305070157143,"Intensity","Control_1","Disease_1",24,21,0.5498210106557,0.585,41.0249179411577,-0.48886825826651,0.854647944337941,"T-test","two.sided",0.814652665589661,0.182889843035715,0.0890275171132248,"NotSignificant"
"22","A6NLP5","TTC36",-0.548265651022728,18.80370898625,19.3519746372727,"Intensity","Control_1","Disease_1",24,22,-1.98817442425695,0.053,43.9804541648039,-1.10403715265174,0.0075058506062857,"T-test","two.sided",0.236170408163265,-0.548265651022728,0.626774519832208,"NotSignificant"
"23","A6NMS3","OR5K4",-0.0168864107233198,11.010689346913,11.0275757576364,"Intensity","Control_1","Disease_1",23,22,-0.0830150090485677,0.934,32.3026313189615,-0.431074877056387,0.397302055609747,"T-test","two.sided",0.969879663056558,-0.0168864107233198,0.0132821470868804,"NotSignificant"
"24","A8MVX0","ARHGEF33",0.111664359431817,16.72074995125,16.6090855918182,"Intensity","Control_1","Disease_1",24,22,0.869328020600428,0.39,37.1004640609055,-0.148574352969307,0.371903071832941,"T-test","two.sided",0.675060240963855,0.111664359431817,0.170657469908506,"NotSignificant"
"25","A8MWX3","WASH4P",0.0893498151818193,12.1823820905909,12.0930322754091,"Intensity","Control_1","Disease_1",22,22,0.323468099769889,0.748,41.9988157067286,-0.468094266426981,0.646793896790619,"T-test","two.sided",0.886797260273973,0.0893498151818193,0.0521756572915747,"NotSignificant"
"26","A8TX70","COL6A5",-0.00132702973429843,12.0096820530435,12.0110090827778,"Intensity","Control_1","Disease_1",23,18,-0.00658128957448794,0.995,33.8734431679934,-0.411158574932425,0.408504515463828,"T-test","two.sided",0.996155632984901,-0.00132702973429843,0.00167280488321651,"NotSignificant"
"27","B3KU38","IQCJ",0.117701328952567,16.7160425230435,16.5983411940909,"Intensity","Control_1","Disease_1",23,22,0.815780142858541,0.419,42.8686235879486,-0.173294220060082,0.408696877965216,"T-test","two.sided",0.69288380952381,0.117701328952567,0.15933958661957,"NotSignificant"
"28","B9A064","IGLL5",0.0315426410227264,15.96429243375,15.9327497927273,"Intensity","Control_1","Disease_1",24,22,0.229595590780184,0.82,33.2013941888496,-0.247901753980718,0.310987036026171,"T-test","two.sided",0.911987113402062,0.0315426410227264,0.0400112983140349,"NotSignificant"
"29","C9J442","C22orf46",0.204656915714287,14.63146696,14.4268100442857,"Intensity","Control_1","Disease_1",24,21,0.786193824902689,0.436,42.9882064811048,-0.320319580999225,0.729633412427798,"T-test","two.sided",0.702489719626168,0.204656915714287,0.15336002692793,"NotSignificant"
"30","E9PAV3","NACA",-0.478704429181819,10.1105400565909,10.5892444857727,"Intensity","Control_1","Disease_1",22,22,-2.18040054044918,0.0358,36.102181670755,-0.923926377911991,-0.033482480451648,"T-test","two.sided",0.191966871165644,-0.478704429181819,0.716773713543133,"NotSignificant"
